"","gene"
"279","g460"
"280","g461"
"281","g462"
"282","g463"
"283","g464"
"284","g465"
"285","g466"
"286","g467"
"287","g468"
"288","g469"
"289","g470"
"290","g476"
"291","g477"
"292","g479"
"293","g481"
"294","g483"
"295","g491"
"296","g492"
"297","g493"
"298","g494"
"299","g495"
"300","g496"
"301","g497"
"302","g498"
"303","g499"
"304","g500"
"305","g502"
"306","g507"
"307","g510"
"308","g513"
"309","g514"
"310","g515"
"311","g518"
"312","g519"
"313","g520"
"314","g522"
"315","g524"
"316","g525"
"317","g527"
"318","g530"
"319","g531"
"320","g532"
"321","g533"
"322","g534"
"323","g535"
"324","g536"
"325","g537"
"326","g538"
"327","g539"
"328","g540"
"329","g541"
"330","g544"
"331","g547"
"332","g553"
"333","g555"
"334","g556"
"335","g558"
"336","g559"
"337","g561"
"338","g563"
"339","g564"
"340","g567"
"341","g569"
"342","g570"
"343","g571"
"344","g572"
"345","g573"
"346","g574"
"347","g575"
"348","g576"
"349","g577"
"350","g578"
"351","g579"
"352","g580"
"353","g583"
"354","g585"
"355","g586"
"356","g589"
"357","g591"
"358","g592"
"359","g595"
"360","g597"
"361","g599"
"362","g607"
"363","g610"
"364","g611"
"365","g612"
"366","g613"
"367","g614"
"368","g615"
"369","g616"
"370","g617"
"371","g618"
"372","g619"
"373","g620"
"374","g631"
"375","g638"
"376","g650"
"377","g653"
"378","g657"
"379","g660"
"380","g663"
"381","g666"
"382","g669"
"383","g672"
"384","g681"
"385","g689"
"386","g691"
"387","g694"
"388","g696"
"389","g700"
"390","g707"
"391","g709"
"392","g711"
"393","g715"
"394","g718"
"395","g719"
"396","g722"
"397","g724"
"398","g726"
"399","g743"
"400","g744"
"401","g747"
"402","g748"
"403","g749"
"404","g751"
"405","g752"
"406","g753"
"407","g754"
"408","g755"
"409","g756"
"410","g757"
"411","g758"
"412","g759"
"413","g760"
"414","g761"
"415","g762"
"416","g763"
"417","g764"
"418","g765"
"419","g766"
"420","g767"
"421","g768"
"422","g769"
"423","g770"
"424","g776"
"425","g781"
"426","g782"
"427","g783"
"428","g784"
"429","g785"
"430","g786"
"431","g787"
"432","g788"
"433","g789"
"434","g790"
"435","g795"
"436","g796"
"437","g801"
"438","g802"
"439","g803"
"440","g804"
"441","g805"
"442","g806"
"443","g807"
"444","g808"
"445","g809"
"446","g810"
"447","g812"
"448","g814"
"449","g818"
"450","g820"
"451","g822"
"452","g824"
"453","g831"
"454","g832"
"455","g833"
"456","g834"
"457","g835"
"458","g836"
"459","g837"
"460","g838"
"461","g839"
"462","g840"
"463","g843"
"464","g849"
"465","g850"
"466","g851"
"467","g854"
"468","g861"
"469","g862"
"470","g863"
"471","g864"
"472","g865"
"473","g866"
"474","g867"
"475","g868"
"476","g869"
"477","g870"
"478","g872"
"479","g874"
"480","g882"
"481","g884"
"482","g891"
"483","g892"
"484","g893"
"485","g894"
"486","g895"
"487","g896"
"488","g897"
"489","g898"
"490","g899"
"491","g900"
"492","g903"
"493","g909"
"494","g910"
"495","g911"
"496","g919"
"497","g922"
"498","g926"
"499","g931"
"500","g932"
"501","g933"
"502","g934"
"503","g935"
"504","g936"
"505","g937"
"506","g938"
"507","g939"
"508","g940"
"509","g945"
"510","g947"
"511","g948"
"512","g951"
"513","g952"
"514","g956"
"515","g963"
"516","g965"
"517","g970"
"518","g971"
"519","g972"
"520","g973"
"521","g974"
"522","g975"
"523","g976"
"524","g977"
"525","g978"
"526","g979"
"527","g980"
"528","g985"
"529","g989"
